date,day,week,university,enrollment,url,total_tests,positive_tests
2020-08-01,Saturday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-02,Sunday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-03,Monday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-04,Tuesday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-05,Wednesday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-06,Thursday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-07,Friday,0,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-08,Saturday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-09,Sunday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-10,Monday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-11,Tuesday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-12,Wednesday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-13,Thursday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-14,Friday,1,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-15,Saturday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-16,Sunday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-17,Monday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-18,Tuesday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-19,Wednesday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-20,Thursday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-21,Friday,2,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-22,Saturday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-23,Sunday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-24,Monday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-25,Tuesday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-26,Wednesday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-08-27,Thursday,3,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
